design_index,checkpoint,replay,reason,width_ratio,actual_width,attack_angle_deg,A_width_ratio,A_actual_width,A_attack_angle_deg,B_width_ratio,B_actual_width,B_attack_angle_deg,measured_robustness,measured_mean_return,measured_worst_terrain_return,measured_std_across_terrains,measured_noise_variance,cardboard_measured_mean,carpet_measured_mean,cardboard_measured_std,carpet_measured_std,cardboard_measured_sem_var,carpet_measured_sem_var,cardboard_rollouts,carpet_rollouts,critic_robustness,critic_lcb_robustness,cardboard_critic_q,carpet_critic_q,cardboard_critic_lcb_q,carpet_critic_lcb_q,cardboard_q1_mean,cardboard_q2_mean,carpet_q1_mean,carpet_q2_mean,cardboard_q_disagreement,carpet_q_disagreement,cardboard_state_uncertainty,carpet_state_uncertainty,mean_q_disagreement,mean_state_uncertainty,calibration_base,local_residual,local_residual_correction,calibrated_score,calibration_known_distance,measured_rank,critic_rank,critic_lcb_rank,calibrated_rank,individual_critic_sources,individual_ensemble_mean,individual_ensemble_std,individual_ensemble_robustness,individual_ensemble_disagreement,individual_own_robustness,individual_own_cardboard_q,individual_own_carpet_q,individual_mean_q_disagreement,individual_cardboard_mean,individual_cardboard_std,individual_carpet_mean,individual_carpet_std,individual_own_rank,individual_ensemble_rank,individual_calibrated_score,individual_calibrated_rank,row_type,proposal_checkpoint,proposal_tag,proposal_index,source,design_mode,optimizer_width_ratio,optimizer_attack_angle_deg,full_design,objective,objective_score,proposal_objective,proposal_score,gp_mean,gp_std,gp_cardboard_mean,gp_cardboard_std,gp_carpet_mean,gp_carpet_std,design_value_robustness,design_value_uncertainty,design_value_cardboard_mean,design_value_cardboard_std,design_value_carpet_mean,design_value_carpet_std,design_value_expected_improvement,design_value_ucb_score,design_value_interpolation,design_value_measured_space_distance,expected_improvement,ucb_score,exploratory_ucb_score,gated_uncertainty_score,targeted_exploration_score,performance_gate,novelty_distance,novelty_bonus,target_novelty_score,target_novelty_bonus,boundary_score,boundary_penalty,extrapolation_penalty,acquisition_score,critic_prior_contribution,critic_prior_validity,individual_critic_prior_contribution,individual_critic_prior_validity,critic_objective_score,known_distance,best_measured_distance,critic_clipped_width,critic_clipped_angle,checkpoint_clip_distance,outside_checkpoint_bounds,iteration,particle,normalized_width,normalized_angle,cost
0,2026_05_18_DesignCycle0_ep76,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,longest completed design-0 carpet/cardboard run,0.63,5.3999999999999995,0.0,0.63,5.3999999999999995,0.0,0.63,5.3999999999999995,0.0,-2.402974843978882,0.1946098804473877,-5.000559329986572,5.195169448852539,1.45205557346344,-5.000559329986572,5.389779090881348,6.153844356536865,8.60737419128418,1.0519389046563044,1.85217227935791,36,40,2.4668259620666504,2.4500930309295654,1.9312916994094849,4.073429107666016,1.913654813542962,4.059407481923699,1.978707194328308,1.9312916994094849,4.07619571685791,4.096277236938477,0.04741549491882324,0.020081520080566406,0.023132048547267914,0.03600498288869858,0.033748507499694824,0.029568515717983246,8.398709837190019,-10.801623344421387,-8.10121750831604,0.2974923288739788,0.0,4,3,3,4,4,2.83720064163208,0.662041187286377,2.5061800479888916,0.662041187286377,1.9110335111618042,1.438520908355713,3.328571319580078,0.020553186535835266,2.2242088317871094,0.5622698664665222,4.676176071166992,0.9614014029502869,4,1,-3.490897005072057,4,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026_05_20_DesignCycle1_ep60,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,completed design-1 run,0.63,5.3999999999999995,30.0,0.63,5.3999999999999995,30.0,0.63,5.3999999999999995,30.0,10.452309370040894,10.78514289855957,10.119476318359375,0.6656670570373535,0.5612368583679199,10.119476318359375,11.450810432434082,5.326351642608643,2.3030834197998047,0.9456673304239909,0.17680643399556478,30,30,2.6015726923942566,2.5922966599464417,2.3864853382110596,3.2468342781066895,2.3783201524056494,3.2342255753464997,2.3904547691345215,2.387934923171997,3.2468342781066895,3.2712647914886475,0.002519845962524414,0.024430513381958008,0.030140897259116173,0.02600429765880108,0.013475179672241211,0.028072597458958626,11.237289347937342,-0.7849633097648621,-0.5887224823236465,10.648566865613695,0.0,2,2,2,2,4,2.416877508163452,1.15858793258667,1.8375835418701172,1.15858793258667,2.8236477971076965,2.665001153945923,3.299588203430176,0.07087025046348572,2.261723756790161,1.1329123973846436,2.8823390007019043,1.2446235418319702,3,2,10.607237086173278,3,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026_05_21_DesignCycle2_ep60,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,completed design-2 run,0.9,7.714285714285714,30.0,0.9,7.714285714285714,30.0,0.9,7.714285714285714,30.0,19.473730087280273,20.952911376953125,17.994548797607422,2.958362579345703,1.3213863372802734,23.911273956298828,17.994548797607422,8.405156135559082,2.938796281814575,2.354888407389323,0.28788414001464846,30,30,2.6458981037139893,2.631127119064331,2.5180280208587646,3.029508352279663,2.5048771472647786,3.0098771331831813,2.5428006649017334,2.5180280208587646,3.0311625003814697,3.07204532623291,0.02477264404296875,0.04088282585144043,0.027830850332975388,0.03764205053448677,0.03282773494720459,0.03273645043373108,12.012398579726863,7.461288928985596,5.595966696739197,17.60836527646606,0.0,1,1,1,1,4,2.3316662311553955,1.4705840349197388,1.5963742136955261,1.4705840349197388,3.5344507098197937,3.6123015880584717,3.508500576019287,0.05645962804555893,2.313546657562256,1.5008107423782349,2.4379258155822754,1.4348161220550537,1,4,15.693416002071586,1,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026_05_21_DesignCycle3_ep60,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,completed design-3 run,0.9,7.714285714285714,0.0,0.9,7.714285714285714,0.0,0.9,7.714285714285714,0.0,6.624849319458008,12.711324691772461,0.5383732914924622,12.172950744628906,0.5313974618911743,0.5383732914924622,24.884275436401367,4.051111221313477,3.9334897994995117,0.5470500946044922,0.5157447497049967,30,30,2.1657660603523254,2.154561936855316,1.7684786319732666,3.35762882232666,1.7588185667991638,3.3417924139648676,1.7824678421020508,1.7685741186141968,3.3604843616485596,3.367591381072998,0.013893723487854004,0.0071070194244384766,0.02474653720855713,0.05623861402273178,0.01050037145614624,0.040492575615644455,2.49950378859932,4.12529993057251,3.0939749479293823,5.593478736528702,0.0,3,4,4,3,4,2.181988000869751,0.758135974407196,1.802920013666153,0.758135974407196,3.223286211490631,2.6904447078704834,4.821811199188232,0.1961403787136078,1.732175350189209,0.7263650298118591,3.531426429748535,0.9257756471633911,2,3,11.338157849627486,2,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.7668424248695374,6.5729350703103195,25.411169052124023,0.7668424248695374,6.5729350703103195,25.411169052124023,0.7668424248695374,6.5729350703103195,25.411169052124023,,,,,,,,,,,,,,2.390841066837311,2.3775153160095215,2.2257277965545654,2.886181354522705,2.2160624996758997,2.861873676069081,,,,,0.010342836380004883,0.0738515853881836,0.02831835113465786,0.0233791284263134,0.04209721088409424,0.025848738849163055,6.94995908495396,2.5973927974700928,1.9480445981025696,8.89800368305653,,,,,,,2.1716420650482178,1.1368716955184937,1.603206217288971,,,,,,2.055452585220337,1.150192141532898,2.5202102661132812,1.106397032737732,,,15.549355269042351,,selected_proposal,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,1,objective_pso_best,homogeneous,0.7668424248695374,25.411169052124023,"0.7668424248695374,25.411169052124023,0.7668424248695374,25.411169052124023",calibrated,16.322255477249062,design_value_gated_uncertainty,16.322255477249062,10.688835818788302,7.551161170565324,10.476334247265628,10.52191935765024,14.949959696927921,7.261686607993945,13.067863941192627,9.604317489377031,13.734429195534725,9.597649792556123,12.84567521512285,9.59041216601797,1.3285583624895385,32.27649891994669,True,0.0,1.3285583624895385,32.27649891994669,32.98311589153327,16.322255477249062,17.81927564772537,0.8441304994204839,0.23553899052885938,0.7066169715865781,0.9895984346100366,4.947992173050183,0.0,0.0,0.0,16.322255477249062,0.0,0.0,0.0,0.0,8.89800368305653,0.23553899052885938,0.23553899052885938,0.7668424248695374,25.411169052124023,0.0,False,,,,,
,,,,0.8999999761581421,7.714285509926932,30.0,0.8999999761581421,7.714285509926932,30.0,0.8999999761581421,7.714285509926932,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,homogeneous,0.8999999761581421,30.0,,calibrated,6.047356203828132,design_value_gated_uncertainty,6.047356203828132,19.46126934956917,0.256883790787895,,,,,19.38943386077881,3.0472202098280485,23.618486784577556,1.5415956725740059,17.979748761381085,0.5448867309352216,0.9457968360013801,25.483874280434904,True,0.0,0.9457968360013801,25.483874280434904,25.483874280434904,6.047356203828132,6.114263343139788,0.9780432214593934,0.0,0.0,0.04393693362340742,0.2196846681170371,1.0,2.0,0.0,6.047356203828132,0.0,0.0,0.0,0.0,,0.0,0.0,0.8999999761581421,30.0,0.0,False,0,0,1.0,1.0,-6.047356203828132
,,,,0.8999549746513367,7.7138997827257425,30.0,0.8999549746513367,7.7138997827257425,30.0,0.8999549746513367,7.7138997827257425,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,homogeneous,0.8999549746513367,30.0,,calibrated,6.047601359643952,design_value_gated_uncertainty,6.047601359643952,19.461067439307023,0.25688294845465587,,,,,19.389248847961426,3.047124856541193,23.618157794722997,1.5415714716961277,17.9796130588839,0.5448888063867745,0.9456810512294972,25.48349856104381,True,0.0,0.9456810512294972,25.48349856104381,25.483710728279213,6.047601359643952,6.11451044092478,0.9780418970567633,7.072241180128019e-05,0.00021216723540384055,0.04401467447864616,0.2200733723932308,1.0,2.0,0.0,6.047601359643952,0.0,0.0,0.0,0.0,,7.072241180128019e-05,7.072241180128019e-05,0.8999549746513367,30.0,0.0,False,0,1,0.9998999834060669,1.0,-6.047601359643952
,,,,0.8999999761581421,7.714285509926932,29.996999740600586,0.8999999761581421,7.714285509926932,29.996999740600586,0.8999999761581421,7.714285509926932,29.996999740600586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,homogeneous,0.8999999761581421,29.996999740600586,,calibrated,6.04776107927953,design_value_gated_uncertainty,6.04776107927953,19.461259993357935,0.25708332320233535,,,,,19.389429092407227,3.047238069243076,23.618479464950887,1.5416340385438627,17.97974523643934,0.544997562010706,0.9458018094467298,25.483905230893377,True,0.0,0.9458018094467298,25.483905230893377,25.48411739812878,6.04776107927953,6.114668714738112,0.9780431873262854,7.072241180128019e-05,0.00021216723540384055,0.04401467447864616,0.2200733723932308,1.0,2.0,0.0,6.04776107927953,0.0,0.0,0.0,0.0,,7.072241180128019e-05,7.072241180128019e-05,0.8999999761581421,29.996999740600586,0.0,False,0,2,1.0,0.9998999834060669,-6.04776107927953
,,,,0.7192388772964478,6.16490466254098,5.602025508880615,0.7192388772964478,6.16490466254098,5.602025508880615,0.7192388772964478,6.16490466254098,5.602025508880615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,homogeneous,0.7192388772964478,5.602025508880615,,calibrated,10.863261285949754,design_value_gated_uncertainty,10.863261285949754,6.974702486960172,7.729154032590296,,,,,7.6070979833602905,10.101977495434943,6.600047801260252,9.897563770378579,10.628247844171895,9.900754125569465,0.5392067795258633,27.811052974230176,True,0.0,0.5392067795258633,27.811052974230176,28.388878111899345,10.863261285949754,16.24453534605071,0.4673048853521262,0.19260837922305676,0.5778251376691703,0.8481566709551394,4.240783354775697,0.0,0.0,0.0,10.863261285949754,0.0,0.0,0.0,0.0,,0.19260837922305676,0.6413880010936321,0.7192388772964478,5.602025508880615,0.0,False,0,3,0.5983087420463562,0.1867341846227646,-10.863261285949754
,,,,0.7527401447296143,6.452058383396693,28.254085540771484,0.7527401447296143,6.452058383396693,28.254085540771484,0.7527401447296143,6.452058383396693,28.254085540771484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,homogeneous,0.7527401447296143,28.254085540771484,,calibrated,14.112889255717246,design_value_gated_uncertainty,14.112889255717246,13.761619253852267,5.472012341270286,,,,,14.465060710906982,7.4676724884457695,15.587524375780298,7.446953239030334,14.090905962932123,7.413178731707283,1.000552060431241,29.40040568779852,True,0.0,1.000552060431241,29.40040568779852,29.992032253554495,14.112889255717246,14.888504361835768,0.896136968068889,0.19720885525199064,0.591626565755972,0.8699276356643276,4.349638178321638,0.2725357413291931,0.5450714826583862,0.0,14.112889255717246,0.0,0.0,0.0,0.0,,0.19720885525199064,0.2350272434942401,0.7527401447296143,28.254085540771484,0.0,False,0,4,0.672756016254425,0.9418028593063354,-14.112889255717246
